,Country,Year,Mental_hospitals,health_units,outpatient_facilities,day_treatment,residential_facilities
0,Afghanistan,2016,0.003,0.012,0.006,,
1,Albania,2016,0.068,0.068,0.41,,0.445
2,Algeria,2016,0.048,0.068,0.048,,
3,Angola,2016,0.011,,,,0.014
4,Antigua and Barbuda,2016,1.001,,,,
5,Argentina,2016,0.937,1.071,1.72,,0.152
6,Armenia,2016,,0.069,1.371,0.034,
7,Azerbaijan,2016,0.114,0.021,0.156,0.094,0.031
8,Bangladesh,2016,0.001,0.035,0.055,,0.045
9,Belarus,2016,0.2,0.063,0.116,0.285,
10,Belize,2016,,1.948,2.227,0.278,0.278
11,Bhutan,2016,,0.127,3.556,,
12,Bolivia,2016,0.075,0.009,0.009,,
13,Brazil,2016,0.069,0.115,1.491,,0.267
14,Brunei Darussalam,2016,,0.479,2.634,0.718,0.479
15,Bulgaria,2016,0.167,0.307,0.307,5.935,1.783
16,Burkina Faso,2016,,0.287,,,
17,Cambodia,2016,,0.006,1.134,,
18,Chad,2016,,0.007,0.007,,
19,Chile,2016,0.023,0.175,0.839,0.315,1.171
20,Colombia,2016,1.988,0.222,0.292,,
21,Congo,2016,,0.04,0.02,,
22,Cook Islands,2016,,,5.731,5.731,5.731
23,Costa Rica,2016,0.042,0.042,1.706,0.125,0.042
24,Côte d'Ivoire,2016,0.009,0.013,0.017,0.022,
25,Croatia,2016,0.165,0.519,3.093,0.803,
26,Cuba,2016,0.166,0.148,2.932,0.445,1.213
27,Dominican Republic,2016,,0.076,1.748,0.019,
28,Ecuador,2016,0.025,0.173,0.242,3.01,
29,Egypt,2016,0.019,,0.031,0.011,
30,El Salvador,2016,0.032,0.253,0.729,,
31,Eritrea,2016,0.021,0.206,0.227,,
32,Estonia,2016,0.152,0.684,14.82,17.176,3.496
33,Fiji,2016,0.112,0.336,3.363,0.112,
34,Gabon,2016,0.052,,0.052,,
35,Georgia,2016,0.228,0.076,0.683,0.101,
36,Ghana,2016,0.011,1.095,2.378,0.018,0.015
37,Greece,2016,0.027,0.33,1.346,1.319,6.178
38,Grenada,2016,0.936,0.936,10.297,,
39,Guatemala,2016,0.006,0.006,1.434,,0.006
40,Guinea,2016,,0.008,,,
41,Guinea-Bissau,2016,0.056,,0.056,,
42,Guyana,2016,0.13,0.13,0.26,,
43,Haiti,2016,0.019,0.009,0.131,,
44,Hungary,2016,,2.647,8.269,0.02,0.286
45,Iceland,2016,0.303,4.542,3.028,,
46,India,2016,0.01,0.03,0.176,0.023,0.017
47,Indonesia,2016,0.019,0.104,,,
48,Ireland,2016,0.617,0.617,3.83,0.085,4.468
49,Israel,2016,0.161,0.136,,,1.637
50,Japan,2016,8.314,0.45,7.223,3.759,0.366
51,Jordan,2016,0.055,0.033,0.513,,
52,Kenya,2016,0.002,0.032,0.068,,
53,Kyrgyzstan,2016,0.085,0.136,1.159,0.051,
54,Liberia,2016,0.022,0.067,0.622,,
55,Libya,2016,0.032,,,,
56,Lithuania,2016,0.136,0.682,3.922,,
57,Madagascar,2016,0.021,0.045,,0.004,0.008
58,Malaysia,2016,0.013,0.153,0.316,3.118,
59,Mali,2016,,0.006,,,
60,Mexico,2016,0.029,0.006,0.126,0.079,0.012
61,Monaco,2016,,2.61,5.221,5.221,
62,Mongolia,2016,0.034,0.47,0.067,,
63,Montenegro,2016,0.318,0.318,,,
64,Morocco,2016,0.032,0.08,0.371,0.101,0.069
65,Mozambique,2016,0.007,0.039,0.768,0.021,
66,Myanmar,2016,0.004,0.042,0.073,,
67,Namibia,2016,,0.082,0.082,,0.041
68,Nauru,2016,,,8.881,,
69,Nepal,2016,0.021,0.063,0.112,,
70,New Zealand,2016,,0.607,,,
71,Niger,2016,,0.033,1.685,0.019,
72,Norway,2016,0.577,0.481,1.308,0.885,
73,Pakistan,2016,0.006,0.422,2.3,,0.305
74,Panama,2016,0.025,0.277,2.696,0.025,
75,Paraguay,2016,0.03,0.03,1.416,0.015,0.09
76,Peru,2016,0.01,0.057,0.166,0.016,0.022
77,Philippines,2016,0.001,0.083,0.211,0.002,0.058
78,Poland,2016,0.125,0.261,3.207,0.716,
79,Portugal,2016,0.029,0.288,0.701,0.518,0.269
80,Qatar,2016,0.038,0.038,0.344,0.115,0.076
81,Republic of Korea,2016,0.358,0.389,1.789,0.134,0.427
82,Romania,2016,0.171,0.392,0.911,0.277,
83,Rwanda,2016,0.017,0.396,0.404,,
84,Saint Lucia,2016,0.564,,19.751,,
85,Samoa,2016,0.516,0.516,12.387,0.516,4.645
86,Sao Tome and Principe,2016,,0.511,0.511,,
87,Saudi Arabia,2016,0.079,0.013,0.507,,0.013
88,Senegal,2016,0.007,0.027,0.04,,0.027
89,Seychelles,2016,1.067,,2.134,1.067,1.067
90,Singapore,2016,0.018,0.072,0.217,0.163,0.054
91,Slovenia,2016,0.241,0.048,5.832,2.121,3.518
92,South Africa,2016,0.116,0.072,0.11,,
93,South Sudan,2016,,0.008,0.008,,
94,Syrian Arab Republic,2016,0.016,0.016,2.263,,
95,Tajikistan,2016,0.035,0.129,0.164,,
96,Thailand,2016,0.028,0.151,1.302,0.007,
97,Timor-Leste,2016,,0.081,6.527,,0.161
98,Togo,2016,0.013,0.108,0.04,,0.04
99,Tonga,2016,0.0,0.94,0.94,,
100,Turkey,2016,0.011,0.455,0.19,,0.174
101,Uganda,2016,0.002,0.032,0.942,,
102,Ukraine,2016,0.139,0.052,0.049,1.576,
103,United Arab Emirates,2016,0.011,0.055,0.524,,0.033
104,United States of America,2016,0.189,0.349,0.373,,
105,Uruguay,2016,0.321,0.699,,0.612,
106,Uzbekistan,2016,0.081,0.013,0.084,0.052,
107,Vanuatu,2016,,0.756,2.645,,
108,Viet Nam,2016,0.043,0.017,0.009,,
109,Yemen,2016,0.033,0.026,0.063,,
110,Zambia,2016,0.062,0.062,0.205,,0.019
111,Zimbabwe,2016,0.025,0.025,0.057,0.006,0.051
