Grand Prix,Driver,Car,Time,year
Great Britain,Nino Farina,Alfa Romeo,1:50.600,1950.0
Monaco,Juan Manuel Fangio,Alfa Romeo,1:51.000,1950.0
Switzerland,Nino Farina,Alfa Romeo,2:41.600,1950.0
Belgium,Nino Farina,Alfa Romeo,4:34.100,1950.0
France,Juan Manuel Fangio,Alfa Romeo,2:35.600,1950.0
Italy,Juan Manuel Fangio,Alfa Romeo,2:00.000,1950.0
Switzerland,Juan Manuel Fangio,Alfa Romeo,2:51.100,1951.0
Indianapolis 500,Lee Wallard,Kurtis Kraft Offenhauser,1:07.260,1951.0
Belgium,Juan Manuel Fangio,Alfa Romeo,4:22.100,1951.0
France,Juan Manuel Fangio,Alfa Romeo,2:27.800,1951.0
Great Britain,Nino Farina,Alfa Romeo,1:44.000,1951.0
Germany,Juan Manuel Fangio,Alfa Romeo,9:55.800,1951.0
Italy,Nino Farina,Alfa Romeo,1:56.500,1951.0
Spain,Juan Manuel Fangio,Alfa Romeo,2:16.930,1951.0
Switzerland,Piero  Taruffi,Ferrari,2:49.100,1952.0
Indianapolis 500,Bill  Vukovich ,Kurtis Kraft Offenhauser,1:06.600,1952.0
Belgium,Alberto Ascari,Ferrari,4:55.000,1952.0
France,Alberto Ascari,Ferrari,2:17.300,1952.0
Great Britain,Alberto Ascari,Ferrari,1:52.000,1952.0
Germany,Alberto Ascari,Ferrari,10:05.100,1952.0
Netherlands,Alberto Ascari,Ferrari,1:49.800,1952.0
Italy,Alberto Ascari,Ferrari,2:06.100,1952.0
Argentina,Alberto Ascari,Ferrari,1:48.400,1953.0
Indianapolis 500,Bill  Vukovich ,Kurtis Kraft Offenhauser,1:06.240,1953.0
Netherlands,Luigi  Villoresi,Ferrari,1:52.800,1953.0
Belgium,Jose Froilan Gonzalez,Maserati,4:34.000,1953.0
France,Juan Manuel Fangio,Maserati,2:41.100,1953.0
Great Britain,Alberto Ascari,Ferrari,1:50.000,1953.0
Germany,Alberto Ascari,Ferrari,9:56.000,1953.0
Switzerland,Alberto Ascari,Ferrari,2:41.300,1953.0
Italy,Juan Manuel Fangio,Maserati,2:04.500,1953.0
Argentina,Jose Froilan Gonzalez,Ferrari,1:48.200,1954.0
Indianapolis 500,Jack McGrath,Kurtis Kraft Offenhauser,1:04.040,1954.0
Belgium,Juan Manuel Fangio,Maserati,4:25.500,1954.0
France,Hans  Herrmann,Mercedes-Benz,2:32.900,1954.0
Great Britain,Alberto Ascari,Maserati,1:50.000,1954.0
Germany,Karl Kling,Mercedes-Benz,9:55.100,1954.0
Switzerland,Juan Manuel Fangio,Mercedes-Benz,2:39.700,1954.0
Italy,Jose Froilan Gonzalez,Ferrari,2:00.800,1954.0
Spain,Alberto Ascari,Lancia,2:20.400,1954.0
Argentina,Juan Manuel Fangio,Mercedes-Benz,1:48.300,1955.0
Monaco,Juan Manuel Fangio,Mercedes-Benz,1:42.400,1955.0
Indianapolis 500,Bill  Vukovich ,Kurtis Kraft Offenhauser,1:03.670,1955.0
Belgium,Juan Manuel Fangio,Mercedes-Benz,4:20.600,1955.0
Netherlands,Roberto Mieres,Maserati,1:40.900,1955.0
Great Britain,Stirling Moss,Mercedes-Benz,2:00.400,1955.0
Italy,Stirling Moss,Mercedes-Benz,2:46.900,1955.0
Argentina,Juan Manuel Fangio,Ferrari,1:45.300,1956.0
Monaco,Juan Manuel Fangio,Ferrari,1:44.400,1956.0
Indianapolis 500,Paul Russo,Kurtis Kraft Novi,1:02.320,1956.0
Belgium,Stirling Moss,Maserati,4:14.700,1956.0
